samples,pct_of_total,leaf_frame
5,0.01,"java.util.HashMap.resize() line: 711"
5,0.01,"java.util.HashMap.putVal(int, Object, Object, boolean, boolean) line: 645"
5,0.01,"java.util.ArrayList.forEach(Consumer) line: 1604"
5,0.01,"java.util.AbstractQueue.remove() line: 114"
5,0.01,"java.lang.ThreadLocal.get(Thread) line: 193"
5,0.01,"java.lang.Enum.hashCode() line: 190"
5,0.01,"it.unimi.dsi.fastutil.longs.LongArrayFIFOQueue.enqueue(long) line: 133"
5,0.01,"it.unimi.dsi.fastutil.longs.Long2ObjectOpenHashMap$MapIterator.nextEntry() line: 681"
4,0.01,"sun.security.provider.DigestBase.engineDigest(byte[], int, int) line: 205"
4,0.01,"net.minecraft.world.phys.shapes.DiscreteVoxelShape.forAllAxisFaces(DiscreteVoxelShape$IntFaceConsumer, AxisCycle) line: 266"
4,0.01,"net.minecraft.world.level.levelgen.synth.SimplexNoise.p(int) line: 53"
4,0.01,"net.minecraft.world.level.levelgen.placement.PlacementContext.getHeight(Heightmap$Types, int, int) line: 28"
4,0.01,"net.minecraft.world.level.levelgen.feature.Feature.safeSetBlock(WorldGenLevel, BlockPos, BlockState, Predicate) line: 155"
4,0.01,"net.minecraft.world.level.levelgen.carver.WorldCarver.carveEllipsoid(CarvingContext, CarverConfiguration, ChunkAccess, Function, Aquifer, double, double, double, double, double, CarvingMask, WorldCarver$CarveSkipChecker) line: 113"
4,0.01,"net.minecraft.world.level.levelgen.carver.CaveWorldCarver.carve(CarvingContext, CaveCarverConfiguration, ChunkAccess, Function, RandomSource, Aquifer, ChunkPos, CarvingMask) line: 59"
4,0.01,"net.minecraft.world.level.levelgen.XoroshiroRandomSource.nextInt(int) line: 60"
4,0.01,"net.minecraft.world.level.levelgen.SurfaceSystem.buildSurface(RandomState, BiomeManager, Registry, boolean, WorldGenerationContext, ChunkAccess, NoiseChunk, SurfaceRules$RuleSource) line: 162"
4,0.01,"net.minecraft.world.level.levelgen.NoiseChunk.fillAllDirectly(double[], DensityFunction) line: 343"
4,0.01,"net.minecraft.world.level.levelgen.NoiseChunk$NoiseInterpolator.allocateSlice(int, int) line: 574"
4,0.01,"net.minecraft.world.level.levelgen.Heightmap.primeHeightmaps(ChunkAccess, Set) line: 118"
4,0.01,"net.minecraft.world.level.levelgen.DensityFunctions$ShiftedNoise.maxValue() line: 700"
4,0.01,"net.minecraft.world.level.levelgen.DensityFunctions$PureTransformer.fillArray(double[], DensityFunction$ContextProvider) line: 281"
4,0.01,"net.minecraft.world.level.levelgen.DensityFunctions$MulOrAdd.mapAll(DensityFunction$Visitor) line: 1111"
