samples,pct_of_total,leaf_frame
10,0.04,"java.util.HashMap.getNode(Object) line: 588"
10,0.04,"java.util.HashMap.computeIfAbsent(Object, Function) line: 1220"
9,0.04,"net.minecraft.world.level.lighting.SkyLightEngine.propagateIncrease(long, long, int) line: 163"
9,0.04,"net.minecraft.world.level.lighting.BlockLightSectionStorage$BlockDataLayerStorageMap.copy() line: 29"
9,0.04,"net.minecraft.world.level.levelgen.DensityFunctions$RangeChoice.minValue() line: 749"
9,0.04,"net.minecraft.world.level.levelgen.DensityFunctions$RangeChoice.maxValue() line: 754"
9,0.04,"net.minecraft.world.level.block.state.BlockBehaviour$BlockStateBase.getBlock() line: 901"
9,0.04,"java.util.stream.Streams$StreamBuilderImpl.forEachRemaining(Consumer) line: 411"
9,0.04,"java.util.stream.Sink$ChainedReference.<init>(Sink) line: 251"
8,0.03,"net.minecraft.world.level.levelgen.carver.CaveWorldCarver.carve(CarvingContext, CaveCarverConfiguration, ChunkAccess, Function, RandomSource, Aquifer, ChunkPos, CarvingMask) line: 59"
8,0.03,"net.minecraft.world.level.levelgen.NoiseChunk.fillAllDirectly(double[], DensityFunction) line: 345"
8,0.03,"net.minecraft.world.level.chunk.ProtoChunk.markPosForPostprocessing(BlockPos) line: 272"
8,0.03,"net.minecraft.util.Mth.normal(RandomSource, float, float) line: 787"
8,0.03,"net.minecraft.core.BlockPos.atY(int) line: 279"
8,0.03,"java.util.stream.ReferencePipeline$7$1FlatMap.accept(Object) line: 288"
8,0.03,"java.util.concurrent.ForkJoinPool.signalWork() line: 1899"
8,0.03,"java.util.Collections.unmodifiableMap(Map) line: 1637"
8,0.03,"java.util.AbstractList$RandomAccessSpliterator.forEachRemaining(Consumer) line: 722"
7,0.03,"net.minecraft.world.level.levelgen.structure.templatesystem.StructureTemplate.processBlockInfos(ServerLevelAccessor, BlockPos, BlockPos, StructurePlaceSettings, List) line: 423"
7,0.03,"net.minecraft.world.level.levelgen.placement.PlacedFeature.lambda$placeWithContext$0(PlacementModifier, PlacementContext, RandomSource, BlockPos) line: 48"
7,0.03,"net.minecraft.world.level.levelgen.feature.GeodeFeature.place(FeaturePlaceContext) line: 117"
7,0.03,"net.minecraft.world.level.levelgen.NoiseBasedChunkGenerator.doFill(Blender, StructureManager, RandomState, ChunkAccess, int, int) line: 392"
7,0.03,"net.minecraft.world.level.levelgen.Heightmap.primeHeightmaps(ChunkAccess, Set) line: 116"
7,0.03,"net.minecraft.world.level.chunk.Configuration$Simple.createPalette(Strategy, List) line: 29"
7,0.03,"net.minecraft.world.level.block.MultifaceSpreader.getSpreadFromFaceTowardDirection(BlockState, BlockGetter, BlockPos, Direction, Direction, MultifaceSpreader$SpreadPredicate) line: 82"
7,0.03,"net.minecraft.server.level.WorldGenRegion.isStateAtPosition(BlockPos, Predicate) line: 422"
7,0.03,"java.util.HashMap.removeNode(int, Object, Object, boolean, boolean) line: 827"
