samples,pct_of_total,leaf_frame
12,0.03,"net.minecraft.world.level.levelgen.carver.CaveWorldCarver.createTunnel(CarvingContext, CaveCarverConfiguration, ChunkAccess, Function, long, Aquifer, double, double, double, double, double, float, float, float, int, int, double, CarvingMask, WorldCarver$CarveSkipChecker) line: 120"
12,0.03,"net.minecraft.world.level.levelgen.DensityFunctions$TwoArgumentSimpleFunction.create(DensityFunctions$TwoArgumentSimpleFunction$Type, DensityFunction, DensityFunction) line: 980"
12,0.03,"net.minecraft.world.level.levelgen.DensityFunctions$Spline$Coordinate.mapAll(DensityFunction$Visitor) line: 1283"
12,0.03,"net.minecraft.world.level.levelgen.DensityFunctions$RangeChoice.minValue() line: 749"
12,0.03,"java.util.HashMap.computeIfAbsent(Object, Function) line: 1207"
12,0.03,"it.unimi.dsi.fastutil.longs.Long2ObjectOpenHashMap.find(long) line: 247"
11,0.03,"net.minecraft.world.phys.shapes.DiscreteVoxelShape.isFull(AxisCycle, int, int, int) line: 85"
11,0.03,"net.minecraft.world.level.levelgen.DensityFunctions$RangeChoice.maxValue() line: 754"
11,0.03,"net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer.computeSubstance(DensityFunction$FunctionContext, double) line: 396"
11,0.03,"java.util.stream.Sink$ChainedReference.end() line: 261"
11,0.03,"java.util.stream.ReferencePipeline.toArray(IntFunction) line: 652"
11,0.03,"java.util.HashMap.resize() line: 721"
11,0.03,"java.util.Comparator.lambda$comparingInt$7b0bb60$1(ToIntFunction, Object, Object) line: 494"
11,0.03,"it.unimi.dsi.fastutil.longs.Long2IntOpenHashMap.find(long) line: 248"
10,0.03,"net.minecraft.world.level.levelgen.synth.NormalNoise.getValue(double, double, double) line: 92"
10,0.03,"net.minecraft.world.level.levelgen.placement.PlacedFeature.lambda$placeWithContext$0(PlacementModifier, PlacementContext, RandomSource, BlockPos) line: 48"
10,0.03,"net.minecraft.world.level.levelgen.carver.WorldCarver.carveEllipsoid(CarvingContext, CarverConfiguration, ChunkAccess, Function, Aquifer, double, double, double, double, double, CarvingMask, WorldCarver$CarveSkipChecker) line: 104"
10,0.03,"net.minecraft.world.level.levelgen.blockpredicates.StateTestingPredicate.test(WorldGenLevel, BlockPos) line: 25"
10,0.03,"net.minecraft.world.level.levelgen.DensityFunctions$TwoArgumentSimpleFunction.create(DensityFunctions$TwoArgumentSimpleFunction$Type, DensityFunction, DensityFunction) line: 981"
10,0.03,"net.minecraft.core.Holder$Reference.value() line: 181"
10,0.03,"java.util.concurrent.ConcurrentLinkedQueue.offer(Object) line: 380"
10,0.03,"java.util.ImmutableCollections$SetN.probe(Object) line: 1253"
10,0.03,"it.unimi.dsi.fastutil.longs.Long2ObjectOpenHashMap.get(long) line: 327"
10,0.03,"it.unimi.dsi.fastutil.longs.Long2FloatLinkedOpenHashMap.get(long) line: 708"
9,0.03,"net.minecraft.world.level.levelgen.XoroshiroRandomSource.nextBits(int) line: 127"
9,0.03,"net.minecraft.world.level.block.state.BlockBehaviour$BlockStateBase.getBlock() line: 901"
9,0.03,"java.util.stream.ReferencePipeline.flatMap(Function) line: 275"
9,0.03,"java.util.AbstractList$RandomAccessSpliterator.forEachRemaining(Consumer) line: 722"
9,0.03,"it.unimi.dsi.fastutil.objects.ObjectArraySet.findKey(Object) line: 206"
9,0.03,"it.unimi.dsi.fastutil.longs.Long2ByteOpenHashMap.get(long) line: 374"
8,0.02,"net.minecraft.world.phys.shapes.DiscreteVoxelShape.isFull(AxisCycle, int, int, int) line: 84"
8,0.02,"net.minecraft.world.level.levelgen.NoiseChunk$1.fillAllDirectly(double[], DensityFunction) line: 93"
8,0.02,"net.minecraft.world.level.levelgen.DensityFunctions$TwoArgumentSimpleFunction.create(DensityFunctions$TwoArgumentSimpleFunction$Type, DensityFunction, DensityFunction) line: 988"
8,0.02,"net.minecraft.world.level.chunk.ChunkGenerator.lambda$applyBiomeDecoration$1(WorldGenLevel, Set, ChunkPos) line: 294"
8,0.02,"net.minecraft.world.level.block.state.BlockBehaviour$BlockStateBase.updateShape(LevelReader, ScheduledTickAccess, BlockPos, Direction, BlockPos, BlockState, RandomSource) line: 1200"
8,0.02,"net.minecraft.world.level.LevelWriter.setBlock(BlockPos, BlockState, int) line: 14"
8,0.02,"net.minecraft.util.CubicSpline$Multipoint.lambda$findIntervalStart$0(float, float[], int) line: 192"
8,0.02,"net.minecraft.util.CubicSpline$Multipoint.apply(Object) line: 173"
8,0.02,"java.util.ArrayList.forEach(Consumer) line: 1604"
8,0.02,"java.util.AbstractQueue.remove() line: 114"
8,0.02,"it.unimi.dsi.fastutil.objects.ObjectOpenCustomHashSet.rehash(int) line: 772"
7,0.02,"net.minecraft.world.level.levelgen.carver.CaveWorldCarver.carve(CarvingContext, CaveCarverConfiguration, ChunkAccess, Function, RandomSource, Aquifer, ChunkPos, CarvingMask) line: 59"
7,0.02,"net.minecraft.world.level.levelgen.SurfaceRules$TestRuleSource.apply(SurfaceRules$Context) line: 776"
7,0.02,"net.minecraft.world.level.levelgen.NoiseChunk.fillAllDirectly(double[], DensityFunction) line: 345"
7,0.02,"net.minecraft.world.level.levelgen.DensityFunctions$ShiftA.mapAll(DensityFunction$Visitor) line: 796"
7,0.02,"net.minecraft.world.level.chunk.Configuration$Simple.createPalette(Strategy, List) line: 29"
7,0.02,"net.minecraft.world.level.block.SculkVeinBlock$SculkVeinSpreaderConfig.stateCanBeReplaced(BlockGetter, BlockPos, BlockPos, Direction, BlockState) line: 174"
7,0.02,"net.minecraft.world.level.biome.Biome.warmEnoughToRain(BlockPos, int) line: 236"
7,0.02,"net.minecraft.util.SimpleBitStorage.set(int, int) line: 176"
7,0.02,"net.minecraft.core.BlockPos$MutableBlockPos.immutable() line: 418"
